segment,streak_id,year,team,streak_len,start_date,end_date,year_std,team_std,date_std,Rank,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,GO,FO,BB,HP,IB,SO,GDP,SH,SF,AVG_,OBP,SLG,OPS,Year_,row_order
streak,22,2022,한화,4,2022-09-20,2022-09-23,2022,한화,2022-09-23,10,0.172,1,35.0,29.0,4.0,5.0,1.0,0.0,1.0,9.0,3.0,1.0,0.0,10.0,9.0,5.0,0.0,0.0,6.0,2.0,0.0,1.0,0.172,0.286,0.31,0.596,2022,133
streak,23,2022,한화,5,2022-08-27,2022-09-02,2022,한화,2022-08-27,3,0.286,1,38.0,35.0,4.0,10.0,4.0,0.0,0.0,14.0,4.0,2.0,1.0,9.0,8.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,0.286,0.342,0.4,0.742,2022,111
streak,23,2022,한화,5,2022-08-27,2022-09-02,2022,한화,2022-08-28,5,0.258,1,38.0,31.0,4.0,8.0,5.0,0.0,0.0,13.0,4.0,0.0,1.0,10.0,7.0,4.0,0.0,0.0,7.0,0.0,2.0,1.0,0.258,0.333,0.419,0.752,2022,112
streak,23,2022,한화,5,2022-08-27,2022-09-02,2022,한화,2022-08-31,7,0.188,1,38.0,32.0,3.0,6.0,2.0,0.0,1.0,11.0,3.0,0.0,0.0,11.0,6.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,0.188,0.278,0.344,0.622,2022,113
streak,23,2022,한화,5,2022-08-27,2022-09-02,2022,한화,2022-09-01,9,0.125,1,37.0,32.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,9.0,4.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.125,0.243,0.125,0.368,2022,114
streak,23,2022,한화,5,2022-08-27,2022-09-02,2022,한화,2022-09-02,10,0.161,1,35.0,31.0,0.0,5.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,8.0,3.0,1.0,0.0,8.0,1.0,0.0,0.0,0.161,0.257,0.258,0.515,2022,115
streak,24,2022,한화,6,2022-06-29,2022-07-06,2022,한화,2022-06-29,3,0.306,1,38.0,36.0,3.0,11.0,3.0,0.0,1.0,17.0,3.0,0.0,0.0,10.0,8.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.306,0.342,0.472,0.814,2022,72
streak,24,2022,한화,6,2022-06-29,2022-07-06,2022,한화,2022-07-01,5,0.265,1,40.0,34.0,5.0,9.0,1.0,1.0,2.0,18.0,5.0,0.0,0.0,8.0,6.0,4.0,1.0,0.0,9.0,0.0,1.0,0.0,0.265,0.359,0.529,0.888,2022,73
streak,24,2022,한화,6,2022-06-29,2022-07-06,2022,한화,2022-07-02,9,0.152,1,35.0,33.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,14.0,5.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,0.152,0.2,0.152,0.352,2022,74
streak,24,2022,한화,6,2022-06-29,2022-07-06,2022,한화,2022-07-03,7,0.179,1,31.0,28.0,1.0,5.0,1.0,0.0,1.0,9.0,1.0,0.0,1.0,8.0,9.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,0.179,0.258,0.321,0.579,2022,75
